,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,target
0,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,23.710386
1,0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,22.85267
2,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,25.498245
3,0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,24.489746
4,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,23.510216
5,0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49,28.856792
6,0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,21.524546
7,0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18,22.359304
8,0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,26.73171
9,0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,22.280998
10,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,20.029589
11,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,23.342793
12,0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99,26.404701
13,0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,26.986353
14,0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,396.9,5.98,24.575817
15,0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,24.13592
16,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79,23.985506
17,0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5,32.03865
18,0.04301,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22.0,382.8,8.05,25.416378
19,0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22.0,376.04,5.57,25.146011
20,8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6,44.68293
21,3.8497,0,18.1,1,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27,44.483974
22,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48,42.516144
23,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67,56.46227
24,4.54192,0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79,60.754032
25,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,55.583733
26,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,52.542595
27,4.22239,0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64,40.462685
28,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,71.68055
29,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,47.004604
30,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14.0,49.453987
31,13.5222,0,18.1,0,0.631,3.863,100.0,1.5106,24,666,20.2,131.42,13.33,58.462788
32,4.89822,0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,375.52,3.26,54.491234
33,5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73,56.513584
34,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,61.061253
35,9.2323,0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53,66.411446
36,8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88,47.084484
37,11.1081,0,18.1,0,0.668,4.906,100.0,1.1742,24,666,20.2,396.9,34.77,58.123596
38,18.4982,0,18.1,0,0.668,4.138,100.0,1.137,24,666,20.2,396.9,37.97,76.10261
39,19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,101.679695
40,15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,79.38471
41,9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24,67.10554
42,23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,106.61877
43,17.8667,0,18.1,0,0.671,6.223,100.0,1.3861,24,666,20.2,393.74,21.78,86.71857
44,88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,337.20688
45,15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,82.24073
46,9.18702,0,18.1,0,0.7,5.536,100.0,1.5804,24,666,20.2,396.9,23.6,57.626083
47,7.99248,0,18.1,0,0.7,5.52,100.0,1.5331,24,666,20.2,396.9,24.56,55.67994
48,20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63,79.72999
49,16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81,76.68152
50,24.3938,0,18.1,0,0.7,4.652,100.0,1.4672,24,666,20.2,396.9,28.28,98.04482
51,22.5971,0,18.1,0,0.7,5.0,89.5,1.5184,24,666,20.2,396.9,31.99,94.07704
52,14.3337,0,18.1,0,0.7,4.88,100.0,1.5895,24,666,20.2,372.92,30.62,66.88127
